tweet_id,retweet_count,favorite_count
845812042753855489,9135,30126
845677943972139009,5004,25891
845397057150107648,1890,7867
845306882940190720,5650,24028
845098359547420673,8017,0
844979544864018432,2700,14019
844973813909606400,3370,15567
844704788403113984,10850,39906
844580511645339650,3290,17006
844223788422217728,2311,14049
843981021012017153,3075,15621
843856843873095681,4863,22115
843604394117681152,2892,17420
843235543001513987,6355,22219
842846295480000512,3791,15709
842765311967449089,1342,6972
842535590457499648,3692,18682
842163532590374912,6105,25270
842115215311396866,3195,14467
841833993020538882,16118,0
841680585030541313,8164,26522
841439858740625411,3880,13056
841320156043304961,5740,20456
841314665196081154,4941,16374
841077006473256960,5588,23664
840761248237133825,1848,0
840728873075638272,17016,0
840698636975636481,2,181
840696689258311684,1036,12719
840632337062862849,1848,9285
840370681858686976,4801,17039
840268004936019968,6049,19947
839990271299457024,2419,13888
839549326359670784,8209,28500
839290600511926273,149,0
839239871831150596,6904,28182
838952994649550848,4202,20326
838921590096166913,2187,11593
838916489579200512,36,0
838831947270979586,11683,0
838561493054533637,1397,11333
838476387338051585,5079,23397
838201503651401729,10669,0
838150277551247360,353,1745
838085839343206401,1,147
838083903487373313,3339,18283
837820167694528512,8306,35472
837482249356513284,466,3985
837471256429613056,2416,13267
837366284874571778,5618,21972
837110210464448512,2529,16640
836989968035819520,2433,13200
836753516572119041,4886,20010
836677758902222849,2353,13107
836648853927522308,577,0
836397794269200385,29346,0
836380477523124226,3148,15327
836260088725786625,4539,22108
836001077879255040,4545,19852
835685285446955009,8645,0
835574547218894849,3842,18513
835536468978302976,1807,0
835309094223372289,22302,0
835297930240217089,3184,17086
835264098648616962,1807,8036
835246439529840640,77,2176
835172783151792128,6095,27190
835152434251116546,3204,23366
834931633769889797,1751,11254
834786237630337024,5843,22061
834574053763584002,2686,14236
834477809192075265,11348,0
834458053273591808,1784,10008
834209720923721728,5084,21457
834167344700198914,3870,16415
834089966724603904,2259,10463
834086379323871233,2358,13603
833863086058651648,2549,13964
833826103416520705,3967,18754
833732339549220864,227,0
833722901757046785,3412,21585
833479644947025920,2192,15471
833124694597443584,5138,21047
832998151111966721,2357,13844
832769181346996225,39,0
832757312314028032,3853,17535
832682457690300417,3119,12368
832645525019123713,553,3043
832636094638288896,2964,16507
832397543355072512,2368,12437
832369877331693569,3394,17911
832273440279240704,2483,11784
832215909146226688,6597,0
832215726631055365,9981,0
832088576586297345,2,69
832040443403784192,10329,0
832032802820481025,4949,18601
831939777352105988,6533,25022
831926988323639298,35,357
831911600680497154,6947,28841
831670449226514432,1932,10910
831650051525054464,2068,7489
831552930092285952,2450,9374
831322785565769729,1635,9626
831315979191906304,1192,6817
831309418084069378,2613,12246
831262627380748289,2187,12432
830956169170665475,1590,8317
830583320585068544,17940,69811
830173239259324417,6083,0
830097400375152640,3200,10251
829878982036299777,5363,0
829861396166877184,2091,12778
829501995190984704,11348,33151
829449946868879360,2161,10931
829374341691346946,9952,36153
829141528400556032,7916,25570
829011960981237760,17341,55396
828801551087042563,3627,0
828770345708580865,6266,26703
828708714936930305,12007,38247
828650029636317184,1440,9927
828409743546925057,1230,6596
828408677031882754,1377,8015
828381636999917570,2379,13202
828376505180889089,1139,7718
828372645993398273,3160,13117
828361771580813312,181,2295
828046555563323392,3063,12306
828011680017821696,2295,10837
827933404142436356,5590,21042
827653905312006145,3217,16140
827600520311402496,1017,7744
827324948884643840,3268,16607
827199976799354881,2401,11070
826958653328592898,5363,22588
826848821049180160,10951,38163
826615380357632002,4233,0
826598799820865537,270,5356
826598365270007810,2516,10556
826476773533745153,4496,19310
826240494070030336,2777,13894
826204788643753985,999,5108
826115272272650244,3360,16399
825876512159186944,2005,10969
825829644528148480,2671,13337
